연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 599 ," 4,336 "," 2,807 "," 2,531 "," 3,132 ", 899 ," 3,502 ", 916 
2025 , 620 ," 4,214 "," 2,646 "," 2,457 "," 3,059 ", 951 ," 3,346 "," 1,004 "
2026 , 630 ," 3,861 "," 2,346 "," 2,175 "," 2,708 ", 864 ," 3,038 ", 997 
2027 , 559 ," 3,390 "," 2,099 "," 1,885 "," 2,399 ", 780 ," 2,723 ", 883 
2028 , 552 ," 3,062 "," 1,916 "," 1,763 "," 2,184 ", 698 ," 2,504 ", 807 
2029 , 501 ," 2,736 "," 1,682 "," 1,552 "," 1,919 ", 608 ," 2,205 ", 727 
2030 , 448 ," 2,451 "," 1,507 "," 1,389 "," 1,710 ", 556 ," 1,974 ", 661 
2031 , 425 ," 2,319 "," 1,426 "," 1,313 "," 1,629 ", 514 ," 1,856 ", 627 
2032 , 419 ," 2,291 "," 1,410 "," 1,297 "," 1,611 ", 508 ," 1,833 ", 620 
2033 , 397 ," 2,161 "," 1,330 "," 1,226 "," 1,523 ", 479 ," 1,731 ", 583 
2034 , 385 ," 2,104 "," 1,294 "," 1,191 "," 1,480 ", 466 ," 1,685 ", 570 
2035 , 376 ," 2,045 "," 1,256 "," 1,159 "," 1,438 ", 453 ," 1,636 ", 551 
2036 , 359 ," 1,958 "," 1,206 "," 1,109 "," 1,380 ", 434 ," 1,566 ", 527 
2037 , 344 ," 1,878 "," 1,155 "," 1,067 "," 1,321 ", 417 ," 1,503 ", 507 
2038 , 329 ," 1,809 "," 1,114 "," 1,027 "," 1,272 ", 401 ," 1,446 ", 488 
2039 , 323 ," 1,759 "," 1,081 "," 1,000 "," 1,238 ", 390 ," 1,404 ", 474 
2040 , 316 ," 1,721 "," 1,058 ", 979 ," 1,211 ", 382 ," 1,374 ", 464 
2041 , 306 ," 1,667 "," 1,028 ", 948 ," 1,172 ", 369 ," 1,332 ", 449 
2042 , 300 ," 1,633 "," 1,003 ", 925 ," 1,150 ", 361 ," 1,303 ", 438 
