연도,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
초중고 총계,"238,690","234,971","229,643","221,170","212,485","203,597","193,075","180,868","167,577","156,241","145,085","134,505","124,995","117,411","111,876","107,748","105,215","103,945","103,249","104,039"
초등학교 소계,"118,857","114,930","108,451","102,880","95,493","87,012","78,700","70,295","63,256","57,374","53,392","50,992","49,456","49,941","51,166","52,672","53,929","54,907","55,609","55,898"
초1,"18,734","17,009","15,079","13,775","12,208","10,934","10,348","8,541","7,980","7,838",8184,"8,506","8,789","9,026","9,214","9,358","9,451","9,494","9,497","9,320"
초2,"19,330","18,588","16,877","14,962","13,668","12,113","10,849","10,267","8,474","7,918","7,777","8,120","8,440","8,721","8,956","9,142","9,285","9,377","9,420","9,423"
초3,"19,489","19,326","18,584","16,874","14,959","13,665","12,111","10,847","10,265","8,472","7,916","7,775","8,118","8,438","8,719","8,954","9,140","9,283","9,375","9,418"
초4,"19,198","19,461","19,298","18,557","16,850","14,937","13,645","12,094","10,831","10,250","8,460","7,905","7,764","8,106","8,426","8,706","8,941","9,127","9,270","9,362"
초5,"21,391","19,191","19,454","19,291","18,550","16,844","14,931","13,640","12,089","10,827","10,246","8,457","7,902","7,761","8,103","8,423","8,703","8,938","9,124","9,266"
초6,"20,715","21,355","19,159","19,421","19,258","18,519","16,816","14,906","13,617","12,069","10,809","10,229","8,443","7,889","7,748","8,089","8,409","8,688","8,923","9,109"
중학교 소계,"60,300","60,264","61,994","60,385","59,108","57,046","56,412","53,838","49,542","44,709","40,027","35,986","32,647","29,070","26,190","23,749","23,403","23,917","24,843","25,665"
중1,"20,575","20,508","21,141","18,967","19,227","19,065","18,334","16,648","14,757","13,481","11,948","10,701","10,127","8,359","7,810","7,671","8,008","8,325","8,601","8,834"
중2,"19,322","20,489","20,423","21,053","18,888","19,147","18,986","18,258","16,579","14,696","13,425","11,898","10,656","10,085","8,324","7,778","7,639","7,975","8,290","8,565"
중3,"20,403","19,267","20,430","20,365","20,993","18,834","19,092","18,932","18,206","16,532","14,654","13,387","11,864","10,626","10,056","8,300","7,756","7,617","7,952","8,266"
고등학교 소계,"59,533","59,777","59,198","57,905","57,884","59,539","57,963","56,735","54,779","54,158","51,666","47,527","42,892","38,400","34,520","31,327","27,883","25,121","22,797","22,476"
고1,"21,405","20,015","18,901","20,042","19,978","20,594","18,476","18,729","18,572","17,860","16,218","14,376","13,133","11,639","10,424","9,865","8,142","7,609","7,472","7,801"
고2,"19,052","20,976","19,614","18,523","19,641","19,578","20,182","18,106","18,354","18,200","17,502","15,893","14,088","12,870","11,406","10,215","9,668","7,979","7,457","7,322"
고3,"19,076","18,786","20,683","19,340","18,265","19,367","19,305","19,900","17,853","18,098","17,946","17,258","15,671","13,891","12,690","11,247","10,073","9,533","7,868","7,353"
